Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Dubbo Solar Hub",https://arena.gov.au/projects/dubbo-solar-hub/,"Large-scale solar",$4.95m,$51.71m,"Neoen Australia","Advancing Renewables Program",20/12/2016,"Narromine, New South Wales, South Keswick",None,Past
"Griffith Solar Farm",https://arena.gov.au/projects/griffith-solar-farm/,"Large-scale solar",$4.5m,$62.19m,"Neoen Australia","Advancing Renewables Program",20/12/2016,"Griffith, New South Wales",None,Past
"Emu Downs Solar Farm",https://arena.gov.au/projects/emu-downs-solar-farm/,"Large-scale solar",$5.5m,$47.2m,"APA Group","Advancing Renewables Program",06/12/2016,"Badgingarra, Western Australia",None,Past
"Kidston Solar Project (Phase 1)",https://arena.gov.au/projects/kidston-solar-project-phase-1/,"Large-scale solar",$8.85m,$130.65m,"Genex Power","Advancing Renewables Program",01/12/2016,"Kidston, Queensland","UGL, SOLAR 120, SOCIETE GENERALE, Ergon Energy Corporation, AECOM",Past
"Kidston Solar Farm",https://arena.gov.au/projects/kidston-solar-farm/,"Large-scale solar",$8.85m,$130.65m,"Genex Power Limited ","Advancing Renewables Program",01/12/2016,"Kidston, Queensland",None,Past
"Project Fulfil",https://arena.gov.au/projects/project-fulfil/,"Battery storage",$3.08m,$10.79m,"Smart Storage Pty Ltd (trading as Ecoult)","Research and Development",30/11/2016,"New South Wales, Sydney, Victoria","East Penn, CSIRO",Past
"Monash University and ClimateWorks Low Carbon Study",https://arena.gov.au/projects/monash-university-climateworks-low-carbon-study/,"Electric vehicles",$390k,$930k,"Monash University and ClimateWorks Australia","Advancing Renewables Program",22/11/2016,"Melbourne, Victoria",None,Past
"Tidal Turbine Reef Feasibility Study",https://arena.gov.au/projects/tidal-turbine-reef-feasibility-study/,"Ocean energy",$280k,$620k,"Worley Parsons","Advancing Renewables Program",21/11/2016,"Perth, Western Australia","Tenax, SCHOTTEL HYDRO GmbH, Ecofin Solutions, Curtin University, Civmec",Past
"Narara Ecovillage Smart Grid",https://arena.gov.au/projects/narara-ecovillage-smart-grid/,"Battery storage",$1.38m,$4.73m,"NEV Power Pty Limited","Advancing Renewables Program",21/09/2016,"Narara, New South Wales","NEV Power, Carbon Neutral Delivery Partners",Current
"Unitywater Sewage Waste to Energy Feasibility Study",https://arena.gov.au/projects/unitywater-sewage-waste-energy-feasibility-study/,"Bioenergy / Energy from waste",$426k,$827k,Unitywater,"Advancing Renewables Program",12/09/2016,"Kawana, Queensland",None,Past
"Networks Renewed",https://arena.gov.au/projects/networks-renewed/,"Distributed energy resources",$1.59m,$4.8m,"University of Technology Sydney","Advancing Renewables Program",31/08/2016,"New South Wales, Sydney","Reposit Power, Essential Energy, AusNet Services, Australian PV Institute, United Energy",Past
"UNSW Addressing Barriers to Efficient Renewable Integration",https://arena.gov.au/projects/addressing-barriers-efficient-renewable-integration/,"Solar energy",$833k,$2.14m,UNSW,"Advancing Renewables Program",19/08/2016,"New South Wales","ElectraNet, TasNetworks, AEMO",Current
"Garden Island Microgrid Project",https://arena.gov.au/projects/garden-island-microgrid-project/,"Ocean energy",$2.5m,$7.49m,"Carnegie Clean Energy Ltd.","Advancing Renewables Program",01/08/2016,"Garden Island, Western Australia",None,Past
"Solar Field Chilling and Heating Opportunities in a Hospital Environment",https://arena.gov.au/projects/solar-field-chilling-heating-opportunities-hospital/,"Renewables for industry",$147k,$336k,"Echuca Regional Hospital","Advancing Renewables Program",25/07/2016,"Echuca, Victoria",None,Past
"Atlas of Pumped Hydro Energy Storage",https://arena.gov.au/projects/atlas-pumped-hydro-energy-storage/,"Hydropower / Pumped Hydro Energy Storage",$609k,$1.21m,"The Australian National University (ANU)","Advancing Renewables Program",20/07/2016,"Australian Capital Territory, Canberra","ElectraNet, CWP Renewables, AvensolSolar, Australian PV Institute",Past
"Lakeland Solar and Storage Project",https://arena.gov.au/projects/lakeland-solar-storage-project/,"Large-scale solar",$17.41m,$42.5m,"Lakeland Solar & Storage Pty Limited, a subsidiary of Conergy","Advancing Renewables Program",28/06/2016,"Lakeland, Queensland",None,Past
"Promoting Use of Solar Cooling and Heating in Australia (PUSCH)",https://arena.gov.au/projects/promoting-use-solar-cooling-heating-australia-pusch/,"Renewables in buildings",$399k,$875k,CSIRO,"Advancing Renewables Program",01/06/2016,"New South Wales","Australian Institute of Refrigeration, Air conditioning and Heating",Past
"Utilising Biogas in Sugarcane Transport and Milling",https://arena.gov.au/projects/utilising-biogas-in-sugarcane-transport-and-milling/,"Bioenergy / Energy from waste",$2.33m,$4.42m,"Queensland University of Technology","Research and Development",03/05/2016,Queensland,"Utilitas Pty Ltd, Sunshine Sugar, Griffith University",Past
"Expansion of the Environmental Upgrade Agreement Market",https://arena.gov.au/projects/expansion-environmental-upgrade-agreement-market-victoria/,"Solar energy",$821k,$1.31m,"Sustainable Melbourne Fund","Advancing Renewables Program",28/04/2016,"Melbourne, Victoria",None,Past
"Pilot Landfill Solar Project",https://arena.gov.au/projects/pilot-landfill-solar-project/,"Solar energy",$100k,$299k,"LMS Energy","Advancing Renewables Program",26/04/2016,"Victoria, Wollert",None,Past
"Integrating Concentrating Solar Thermal Energy",https://arena.gov.au/projects/integrating-concentrating-solar-thermal-energy-into-the-bayer-alumina-process/,"Concentrated solar thermal",$4.49m,$15.07m,"The University of Adelaide","Research and Development",12/04/2016,"Adelaide, South Australia","UNSW Australia, San Diego State University, IT Power Australia Pty Ltd, Hatch Associates Pty Ltd, ETH Zurich, CSIRO, Alcoa of Australia Limited",Current
"Real-Time Operational PV Simulations",https://arena.gov.au/projects/real-time-operational-pv-simulations-for-distribution-network-service-providers/,"Solar energy",$1.19m,$2.63m,"Australian National University","Research and Development",12/04/2016,"Australian Capital Territory, Canberra","Soly, Solar Hub, SMA, Si Clean Energy, Regional Power Corporation, Power and Water Corporation, Essential Energy, Ergon Energy Corporation, Electricity Networks Corporation",Past
"Consumer Energy Systems Providing Cost-Effective Grid Support",https://arena.gov.au/projects/consumer-energy-systems-providing-cost-effective-grid-support-consort/,"Battery storage",$2.89m,$7.99m,"Australian National University","Research and Development",11/04/2016,"Bruny Island, Tasmania","TasNetworks, Reposit Power, University of Sydney, University of Tasmania&#8203;",Past
"Robotic Vision System for Automatic Inspection & Evaluation of Solar Plants",https://arena.gov.au/projects/a-robotic-vision-system-for-automatic-inspection-and-evaluation-of-solar-plants/,"Solar energy",$444k,$1.73m,"Australian National University","Research and Development",11/04/2016,"Acton, Australian Capital Territory","White Knight Unmanned Arial Systems PTY LTD, Vast Solar Pty Ltd, NICTA, FRV Services Australia Pty Ltd",Past
"Increasing the Uptake of Solar PV in Strata Residential Developments",https://arena.gov.au/projects/increasing-the-uptake-of-solar-photovoltaics-in-strata-residential-developments/,"Distributed energy resources",$900k,$2.59m,"Curtin University","Research and Development",11/04/2016,"Western Australia, White Gum Valley","LandCorp, Electricity Networks Corporation, CRC for Low Carbon Living, City of Fremantle, Balance Utility Solutions",Past
"Smart Sodium Storage System",https://arena.gov.au/projects/smart-sodium-storage-system-for-renewable-energy-storage/,"Battery storage",$2.7m,$10.59m,"University of Wollongong","Research and Development",11/04/2016,"New South Wales, Wollongong","Sydney Water, Nano-Nouvelle, McNair, Liao Ning Hong Cheng Electric Power Co, Hebei ANZ New Energy Technology Company",Past
"Maximising Solar PV with Phase Change Thermal Energy Storage",https://arena.gov.au/projects/maximising-solar-photovoltaic-with-phase-change-thermal-energy-storage/,"Renewables for industry",$995k,$2.16m,"University of South Australia","Research and Development",08/04/2016,"Adelaide, South Australia","University of Lleida, The Solar Project, Glaciem",Past
"Wave Energy Cost Reduction",https://arena.gov.au/projects/wave-energy-cost-reduction-through-location-and-configuration-optimisation/,"Ocean energy",$994k,$3.6m,"University of Western Australia","Research and Development",08/04/2016,"Perth, Western Australia","Carnegie Wave Energy",Past
"TransGrid New England Renewable Hub (REHub) Feasibility Study",https://arena.gov.au/projects/transgrid-new-england-renewable-rehub-feasibility-study/,"System security and reliability",$450k,$1.35m,TransGrid,"Advancing Renewables Program",15/03/2016,"New South Wales",None,Past
"Northern Oil Advanced Biofuels Laboratory",https://arena.gov.au/projects/northern-oil-advanced-biofuels-laboratory/,"Bioenergy / Energy from waste",$3.18m,$6.93m,"Southern Oil Refining Pty Ltd (Southern Oil Refining or SOR)","Emerging Renewables Program",22/12/2015,"Gladstone, Queensland",None,Past
"Kidston Pumped Storage Project",https://arena.gov.au/projects/kidston-pumped-storage-project/,"Hybrid technologies",$3.99m,$14m,"Genex Power Limited","Emerging Renewables Program",18/12/2015,"Queensland, Townsville",None,Past
"Australian Biomass for Bioenergy Assessment 2015-2021",https://arena.gov.au/projects/australian-biomass-for-bioenergy-assessment-project/,"Bioenergy / Energy from waste",$3.16m,$6.55m,"Rural Industries Research and Development Corporation","Emerging Renewables Program",16/12/2015,"Australian Capital Territory, Canberra","University of the Sunshine Coast, Sustainability Victoria, Renewables SA, Queensland University of Technology, Department of State Growth, Department of Science, Information Technology and Innovation, Department of Primary Industries, Department of Agriculture and Food (WA)",Past
"Normanton Solar Farm",https://arena.gov.au/projects/normanton-solar-farm/,"Large-scale solar",$8.38m,$13.97m,"Scouller Energy","Regional Australia’s Renewables",10/12/2015,"Normanton, Queensland","SMEC, Normanton Solar Farm, CEFC, Canadian Solar (Australia) Pty Limited",Past
"Specifying Guidelines for Assessing Next Generation Solar Cells",https://arena.gov.au/projects/specifying-guidelines-for-assessing-next-generation-solar-cells/,"Solar energy",$932k,$2.25m,CSIRO,"Emerging Renewables Program",30/11/2015,"Mayfield West, New South Wales",None,Past
"Energy Cost Study for Bombora Wave Energy Converter",https://arena.gov.au/projects/energy-cost-study-for-bombora-wave-energy-converter/,"Ocean energy",$210k,$421k,"Bombora Wave Power","Emerging Renewables Program",30/11/2015,"Perth, Western Australia",None,Past
"Pentland Bioenergy Project",https://arena.gov.au/projects/pentland-bioenergy-project/,"Bioenergy / Energy from waste",$3m,$13.06m,"Renewable Developments Australia Pty Ltd","Emerging Renewables Program",30/11/2015,"Pentland, Queensland","De Smet Engineers & Contractors SA, Beta-Renewables",Past
"Geothermal Structural Permeability Map",https://arena.gov.au/projects/geothermal-structural-permeability-map/,"Geothermal energy",$450k,$1.61m,"University of Adelaide (South Australian Centre for Geothermal Energy Research)","Emerging Renewables Program",26/11/2015,"Adelaide, South Australia","The University of Adelaide",Past
"Moreland Micro-Grid Investigation",https://arena.gov.au/projects/moreland-micro-grid-investigation/,"Solar energy",$112k,$226k,"Moreland Energy Foundation Ltd","Emerging Renewables Program",11/11/2015,"Melbourne, Victoria",GreenSync,Past
"Commercialisation Roadmap for Perovskite Solar Cells",https://arena.gov.au/projects/commercialisation-roadmap-for-perovskite-solar-cells/,"Solar energy",$449k,$1.42m,"Dyesol Limited","Emerging Renewables Program",30/09/2015,"Australian Capital Territory",None,Past
"Establishing the Basis for Industrial Development",https://arena.gov.au/projects/perovskite-solar-cells-establishing-basis-industrial-development/,"Solar energy",$449k,$1.42m,Dyesol,"Advancing Renewables Program",30/09/2015,"New South Wales",None,Past
"Higher Renewable Penetration in New Land & Housing Developments",https://arena.gov.au/projects/delivering-higher-renewable-penetration-in-new-land-and-housing-developments-through-off-grid-microgrids/,"Off grid",$442k,$1.11m,"Brookfield Energy Australia Pty Limited","Advancing Renewables Program",24/09/2015,"Hunter Valley, New South Wales",None,Past
"Central Receiver CPV Pilot Project Stage 3",https://arena.gov.au/projects/central-receiver-cpv-pilot-project-stage-3/,"Solar energy",$2.92m,$5.84m,"RayGen Resources Pty Ltd","Emerging Renewables Program",19/08/2015,"Newbridge, Victoria",None,Past
"Trialling a New Residential Solar PV and Battery Model",https://arena.gov.au/projects/trialling-a-new-residential-solar-pv-and-battery-model/,"Battery storage",$400k,$2.62m,"Ergon Energy Queensland Pty Ltd (Ergon Retail)","Emerging Renewables Program",31/07/2015,"Cannonvale, Queensland","Sunverge, SunPower",Past
"Karratha Airport Solar Plant",https://arena.gov.au/projects/karratha-airport-solar-plant/,"Large-scale solar",$2.3m,$6.82m,"Impact Investment Group","Regional Australia’s Renewables",26/06/2015,"Karratha, Western Australia",None,Past
"Toolkit for Community Renewable Energy Funding and Financing",https://arena.gov.au/projects/toolkit-for-community-renewable-energy-funding-and-financing/,"Renewables for industry",$467k,$676k,"Frontier Impact Group Pty Ltd","Emerging Renewables Program",10/06/2015,"Melbourne, Victoria","Trading as Community Power Agency, Embark Australia",Past
"Investigating Local Network Charges and Local Electricity Trading",https://arena.gov.au/projects/investigating-local-network-charges-and-local-electricity-trading/,"Hybrid technologies",$402k,$1.08m,"Institute for Sustainable Futures, University of Technology, Sydney","Emerging Renewables Program",28/05/2015,"New South Wales, Sydney",None,Past
"Energy Storage Test Facility and Knowledge Bank",https://arena.gov.au/projects/energy-storage-test-facility-and-knowledge-bank/,"Battery storage",$1.44m,$3.26m,"University of Adelaide","Emerging Renewables Program",13/05/2015,"Adelaide, South Australia","Zen Energy Systems, South Australian Govt DMITRE, Solar Storage, SA Power Networks, Power and Drive Solutions, Energy Networks Association",Past
"Rottnest Island Water and Renewable Energy Nexus (WREN) Project",https://arena.gov.au/projects/rottnest-island-water-and-renewable-energy-nexus-wren-project/,"Battery storage",$3.75m,$6.09m,"Hydro-Electric Corporation","Regional Australia’s Renewables",07/05/2015,"Rottnest Island, Western Australia","Rottnest Island Authority",Past
"Testing the Performance of Lithium Ion Batteries",https://arena.gov.au/projects/testing-the-performance-of-lithium-ion-batteries/,"Battery storage",$1.29m,$1.94m,"IT Power (Australia) Pty Ltd","Emerging Renewables Program",30/03/2015,"Australian Capital Territory, Canberra",None,Past
"Clean Energy Australia Annual Renewable Energy Industry Analysis",https://arena.gov.au/projects/clean-energy-australia-annual-renewable-energy-industry-analysis/,"Renewables for industry",$112k,$182k,"Clean Energy Council","Emerging Renewables Program",23/12/2014,"Melbourne, Victoria",None,Past
"Yulara Solar Project",https://arena.gov.au/projects/yulara-solar-project/,"Solar energy",$447k,$6.89m,"Voyages Indigenous Tourism","Regional Australia’s Renewables",02/12/2014,"Northern Territory, Yulara",None,Past
"Predicting Cloud Movements to Maximise Solar PV Use",https://arena.gov.au/projects/predicting-cloud-movements-to-maximise-solar-pv-use/,"Solar energy",$546k,$1.11m,"Fulcrum 3D","Emerging Renewables Program",08/09/2014,"Alice Springs, Northern Territory",None,Past
"Flinders Island Hybrid Energy Hub",https://arena.gov.au/projects/flinders-island-hybrid-energy-hub/,"Battery storage",$5.5m,$13.38m,"Hydro-Electric Corporation","Regional Australia’s Renewables",04/09/2014,"Flinders Island, Tasmania",None,Past
"Solar and Storage Trial at Alkimos Beach Residential Development",https://arena.gov.au/projects/solar-and-storage-trial-at-alkimos-beach-residential-development/,"Distributed energy resources",$2.78m,$5.65m,Synergy,"Emerging Renewables Program",20/08/2014,"Alkimos Beach, Western Australia","Lendlease Communities (Alkimos) Pty Ltd , Synergy, Development WA",Past
"Energy Storage for Commercial Renewable Integration",https://arena.gov.au/projects/energy-storage-for-commercial-renewable-integration/,"Battery storage",$445k,$1.02m,"AGL Pty Ltd","Emerging Renewables Program",14/08/2014,"Adelaide, South Australia",None,Past
"Australian Renewable Energy Mapping Infrastructure Project",https://arena.gov.au/projects/aremi-project/,"Renewables for industry",$2.34m,$3.42m,"NICTA (Pre July 2016); Data61 CSIRO (Post July 2016)","Emerging Renewables Program",08/08/2014,"Australian Capital Territory, Canberra","Geoscience Australia, Clean Energy Council",Past
"Renewable Energy Excellence Industry Cluster",https://arena.gov.au/projects/establishing-a-south-east-region-of-renewable-energy-excellence-industry-cluster/,"Renewables for industry",$488k,$953k,"Regional Development Australia ACT Incorporated","Advancing Renewables Program",06/08/2014,"Australian Capital Territory, Canberra","Zhenfa Australia Pty Ltd, Windlab Systems Pty Ltd, Vestas, Union Fenosa Wind Australia, Senvion, Regional Development Australia Southern Inland, NSW Government OEH, NSW Department of Trade and Investment, Infigen",Past
"Ocean Wave-Power Machines",https://arena.gov.au/projects/arrays-of-ocean-wave-power-machines/,"Ocean energy",$771k,$1.5m,"Swinburne University of Technology, Centre for Ocean Engineering, Science and Technology","Emerging Renewables Program",04/08/2014,"Melbourne, Victoria","University of Tasmania",Past
"High Efficiency Solar Thermal Power Using Allam Cycle",https://arena.gov.au/projects/high-efficiency-solar-thermal-power-using-allam-cycle/,"Concentrated solar thermal",$428k,$4.72m,CSIRO,"Research and Development",25/07/2014,"New South Wales, Newcastle","Toshiba International, National Renewable Energy Labs, Chinese Academy of Sciences, Abengoa Solar Power Australia, 8 Rivers",Past
"Improving Solar Cell Performance Testing",https://arena.gov.au/projects/improving-solar-cell-performance-testing/,"Solar energy",$381k,$926k,"University of NSW","Research and Development",24/07/2014,"New South Wales, Sydney","The Australian National University, Sinton Instruments, BT Imaging",Past
"Creating a Better Solar Cell",https://arena.gov.au/projects/creating-a-better-solar-cell-unsw/,"Solar energy",$3.59m,$12.16m,"University of New South Wales","Research and Development",24/07/2014,"New South Wales, Sydney","Trina Solar Ltd, The Australian National University, Suntech R&D Australia Pty Ltd, Monash University, Arizona State University",Past
"Towards Ultimate Performance Silicon Solar Cells",https://arena.gov.au/projects/towards-ultimate-performance-silicon-solar-cells/,"Solar energy",$2.97m,$12.8m,"University of New South Wales","Research and Development",24/07/2014,"New South Wales, Sydney","Yingli Green Energy Holding Co. Ltd, Trina Solar Ltd, Tempress Systems, Suntech R&D Australia Pty Ltd, Sunrise Global Solar Energy, Sharesun Co. Ltd, SCHMID Group | Gebr. SCHMID GmbH, Roth & Rau AG, Hyundai Heavy industries Co Ltd",Past
"DeGrussa Solar Project",https://arena.gov.au/projects/degrussa-solar-project/,"Solar energy",$20.9m,$39.47m,"Degrussa Solar Project Pty Ltd","Advancing Renewables Program",24/07/2014,"Meekatharra, Western Australia","Sandfire Resources NL, juwi Renewable Energy Pty Ltd, Juwi AG",Past
"Barcaldine Remote Community Solar Farm",https://arena.gov.au/projects/barcaldine-remote-community-solar-farm/,"Large-scale solar",$22.8m,$70.1m,"Elecnor Australia Pty Ltd","Regional Australia’s Renewables",24/07/2014,"Barcaldine, Queensland","Kingsway Europe S.L, Elecnor Australia",Current
"Mapping Network Opportunities for Renewable Energy",https://arena.gov.au/projects/mapping-network-opportunities-for-renewable-energy/,"Renewables for industry",$538k,$1.11m,"University of Technology, Sydney","Emerging Renewables Program",22/07/2014,"New South Wales","NSW Trade and Investment, Ergon Energy Corporation, ElectraNet, Clean Energy Council Ltd.",Past
"Novel Concepts for Low Cost Small Heliostats in Remote Installations",https://arena.gov.au/projects/novel-concepts-for-low-cost-small-heliostats-in-remote-installations/,"Concentrated solar thermal",$1m,$2.15m,"CSIRO Energy Flagship","Research and Development",18/07/2014,"New South Wales, Newcastle","Rioglass Solar International, Diver Consolidated Industries",Past
"Virtual Power Station 2",https://arena.gov.au/projects/virtual-power-station-2/,"Distributed energy resources",$850k,$2.58m,CSIRO,"Solar Research Excellence",18/07/2014,"New South Wales, Newcastle","University of Newcastle, Tritium Pty Ltd, SMA, Selectronic Australia Pty Ltd, Lend Lease Communities (Australia) Ltd., Latronic Sunpower Ltd., Ergon Energy Corporation",Past
"Future Proofing in Australia's Electricity Distribution Industry",https://arena.gov.au/projects/future-proofing-in-australias-electricity-distribution-industry/,"Renewables for industry",$408k,$408k,"Clean Energy Council","Emerging Renewables Program",18/07/2014,"Melbourne, Victoria",None,Past
"Doomadgee Solar Project",https://arena.gov.au/projects/doomadgee-solar-project/,"Hybrid technologies",$145k,$7.89m,"Ergon Energy","Regional Australia’s Renewables",17/07/2014,"Doomadgee, Queensland",None,Past
"NT Solar Energy Transformation Program",https://arena.gov.au/projects/northern-territory-solar-energy-transformation-program/,"Battery storage",$35m,$62.5m,"Power and Water Corporation Indigenous Essential Services Pty Ltd","Regional Australia’s Renewables",17/07/2014,"Northern Territory","Northern Territory Government",Current
"Gullen Solar Farm",https://arena.gov.au/projects/gullen-solar-farm/,"Large-scale solar",$9.9m,$28.82m,"Gullen Solar Pty Ltd","Advancing Renewables Program",17/07/2014,"Crookwell, New South Wales","Goldwind Australia Pty Ltd",Current
"Asia-Pacific Solar Research Conference 2014",https://arena.gov.au/projects/asia-pacific-solar-research-conference-2014/,"Solar energy",$50k,$230k,"Australian PV Institute","Emerging Renewables Program",17/07/2014,"Kensington, New South Wales",None,Past
"Intelligent Storage for Australia's Grid",https://arena.gov.au/projects/intelligent-storage-for-australias-grid/,"Solar energy",$445k,$930k,"Reposit Power Pty Ltd","Emerging Renewables Program",16/07/2014,"Australian Capital Territory, Fyshwick",None,Past
"High-Temperature Solar Thermal Energy Storage",https://arena.gov.au/projects/high-temperature-solar-thermal/,"Concentrated solar thermal",$1.19m,$3.46m,"Australian National University","Solar Research & Development",15/07/2014,"Australian Capital Territory, Canberra","University of Colorado Boulder, IT Power Australia Pty Ltd",Past
"Improving Solar Thermal Receivers for Reduced Heat Loss",https://arena.gov.au/projects/improving-solar-thermal-receivers-for-reduced-heat-loss/,"Concentrated solar thermal",$1.4m,$3.59m,"Australian National University","Research and Development",15/07/2014,"Australian Capital Territory, Canberra","The University of Adelaide, Sandia National Laboratories, CSIRO",Past
"Advanced Surface and Contact Technologies Improving Solar Cells",https://arena.gov.au/projects/advanced-surface-and-contact-technologies-improving-solar-cells/,"Solar energy",$3.96m,$15.7m,"Australian National University","Solar Research Excellence",15/07/2014,"Australian Capital Territory","UNSW Australia, Trina Solar, Tempress Systems",Past
"Lowering the Cost of High Efficiency Silicon Solar Panels",https://arena.gov.au/projects/lowering-the-cost-of-high-efficiency-silicon-solar-panels/,"Solar energy",$2.02m,$6.99m,"Australian National University","Research and Development",15/07/2014,"Australian Capital Territory, Canberra","UNSW Australia, University of Warwick, SunEdison, Sinton Instruments, Institut f&uuml;r Solarenergieforschung Hameln/Emmerthal GmbH, Fraunhofer Institute for Solar Energy Systems, BT Imaging, Apollon Solar",Past
"Solar Panels for the Australian Environment",https://arena.gov.au/projects/solar-panels-for-the-australian-environment/,"Solar energy",$502k,$1.21m,"Australian National University","Solar Research Excellence",15/07/2014,"Australian Capital Territory, Canberra","UNSW Australia, Tindo Solar, Sunpulse K. K., PV Lighthouse, PV LAB AUSTRALIA PTY LTD, Brisbane Materials Technology Pty Ltd",Past
"Lithium-Sulfur Batteries for Large-Scale Energy Storage",https://arena.gov.au/projects/lithium-sulfur-batteries-for-large-scale-energy-storage/,"Battery storage",$830k,$2.07m,"University of Technology Sydney","Research and Development",15/07/2014,"New South Wales, Sydney","Korea Electrotechnology Research Institute, Ergon Energy Corporation, DLG Battery",Past
"Re-Deployable Hybrid Power (Sunshift)",https://arena.gov.au/projects/redeployable-hybrid-power/,"Hybrid technologies",$451k,$1.76m,"Laing O'Rourke","Emerging Renewables Program",14/07/2014,"Combabula, Queensland",None,Past
"Woody Biomass Harvester",https://arena.gov.au/projects/woody-biomass-harvester/,"Bioenergy / Energy from waste",$463k,$2m,"Biosystems Engineering Pty Ltd","Emerging Renewables Program",14/07/2014,"Queensland, Toowoomba",None,Past
"Low Emission Biofuel Technology",https://arena.gov.au/projects/low-emission-biofuel-technology/,"Bioenergy / Energy from waste",$5.47m,$13.49m,"Renergi Pty Ltd","Emerging Renewables Program",14/07/2014,"Perth, Western Australia","Oil Mallee Association of Australia, Curtin University",Past
"Coober Pedy Renewable Diesel Hybrid",https://arena.gov.au/projects/coober-pedy-renewable-diesel-hybrid/,"Battery storage",$18.41m,$38.86m,"Energy Developments Ltd (EDL)","Regional Australia’s Renewables",11/07/2014,"Coober Pedy, South Australia",None,Current
"Australian Wave Energy Atlas",https://arena.gov.au/projects/australian-wave-energy-atlas/,"Ocean energy",$1.32m,$3.28m,CSIRO,"Emerging Renewables Program",10/07/2014,"Hobart, Tasmania","Australian Maritime College - The University of Tasmania, Bureau of Meteorology, BioPower Systems, Carnegie Clean Energy, Swinburne University of Technology",Past
"International Energy Agency's Bioenergy Program",https://arena.gov.au/projects/participation-in-the-international-energy-agencys-bioenergy-program/,"Bioenergy / Energy from waste",$708k,$1.42m,"Bioenergy Australia","Emerging Renewables Program",02/07/2014,"New South Wales, Sydney","University of the Sunshine Coast, University of Southern Queensland, University of New England, Monash University, BioIndustry Partners Pty Ltd",Past
"Carnegie CETO 6 Technology",https://arena.gov.au/projects/carnegie-ceto-6-technology/,"Ocean energy",$2.18m,$5.3m,"Carnegie Clean Energy Ltd.","Emerging Renewables Program",29/06/2014,"Albany, Western Australia","State Government of Western Australia",Past
"Pathways to Deep Decarbonisation in 2050",https://arena.gov.au/projects/pathways-to-deep-decarbonisation-in-2050/,"Bioenergy / Energy from waste",$305k,$934k,"ClimateWorks Australia and the Australian National University (project co-leaders)","Emerging Renewables Program",22/06/2014,Victoria,None,Past
"Lord Howe Island Hybrid Renewable Energy System",https://arena.gov.au/projects/lord-howe-island-hybrid-renewable-energy-system/,"Battery storage",$4.5m,$11.85m,"Lord Howe Island Board (LHIB)","Regional Australia’s Renewables",17/06/2014,"Lord Howe Island, New South Wales",None,Current
"Investigating a Bioenergy Alternative for Mines",https://arena.gov.au/projects/investigating-a-bioenergy-alternative-for-mines/,"Bioenergy / Energy from waste",$300k,$400k,"AgGrow Energy Resources Pty Ltd","Emerging Renewables Program",11/06/2014,"Perth, Western Australia",None,Past
"Future-Proofing in the Electricity Distribution Industry",https://arena.gov.au/projects/future-proofing-in-the-electricity-distribution-industry/,"System security and reliability",$426k,$426k,"Clean Energy Council","Emerging Renewables Program",26/05/2014,"Melbourne, Victoria",None,Past
"Weipa 6.7MW Solar Photovoltaic (PV) Solar Farm",https://arena.gov.au/projects/weipa-solar-farm/,"Large-scale solar",$3.5m,$5.88m,"Weipa Solar Farm Pty Ltd","Australian Solar Institute",26/03/2014,"Queensland, Weipa",None,Past
"Feasibility Study for Perenjori 20MW Dispatchable Solar Tower",https://arena.gov.au/projects/feasibility-study-for-perenjori-20mw-dispatchable-solar-tower-project/,"Concentrated solar thermal",$436k,$824k,"Abengoa Solar","Emerging Renewables Program",21/03/2014,"Perenjori, Western Australia",None,Past
"Re-Deployable Hybrid Power Feasibility Study",https://arena.gov.au/projects/redeployable-hybrid-power-feasibility-study/,"Battery storage",$410k,$821k,"Laing O'Rourke","Emerging Renewables Program",06/03/2014,"New South Wales, Sydney",None,Past
"CSP Pilot Plant",https://arena.gov.au/projects/csp-pilot-plant/,"Concentrated solar thermal",$9.89m,$23.03m,"Vast Solar Pty Ltd","Emerging Renewables Program",03/02/2014,"Jemalong, New South Wales",None,Past
"Port Augusta Solar Thermal Feasibility Study",https://arena.gov.au/projects/port-augusta-solar-thermal-feasibility-study/,"Battery storage",$408k,$1.04m,"Alinta Energy","Emerging Renewables Program",17/12/2013,"Port Augusta, South Australia",None,Past
"National Community Energy Strategy",https://arena.gov.au/projects/national-community-energy-strategy-catalysing-community-renewables-in-australia/,"Renewables for industry",$330k,$506k,"University of Technology, Sydney","Emerging Renewables Program",15/10/2013,"New South Wales",None,Past
"Australian Involvement in the IEA PV Power Systems",https://arena.gov.au/projects/australian-involvement-in-the-iea-pv-power-systems/,"Solar energy",$440k,$1.29m,"Australian PV Institute","Australian Solar Institute",29/08/2013,"Kensington, New South Wales",None,Past
"Self Patterning Dielectric Metal Nanostructure",https://arena.gov.au/projects/self-patterning-dielectric-metal-nanostructure/,"Solar energy",$391k,$391k,"University of New South Wales","Post Fellowship Doctorate",08/07/2013,"Kensington, New South Wales",None,Past
"VISY Clean Energy Project",https://arena.gov.au/projects/visy-clean-energy-project/,"Bioenergy / Energy from waste",$423k,$2.53m,VISY,"Emerging Renewables Program",05/07/2013,"Campbellfield, Victoria","None ",Past
